HA_USAGE,topicDistribution_0,topicDistribution_1,topicDistribution_2,topicDistribution_3,topicDistribution_4
1326,0.999543896597664,1.16521588816882E-4,1.155560670618591E-4,1.1254534726495482E-4,1.1144352336066809E-4
1310,1.1196323341316358E-4,1.1794394305964923E-4,1.1696663832814676E-4,1.1397684387725152E-4,1.1280389316199991E-4
561,0.9989227991993276,2.752040385499441E-4,2.729236096203209E-4,0.9989273906383528,2.632103486535632E-4
934,0.9993526124744769,1.6538676895794417E-4,1.6401633804631643E-4,1.5974300706618385E-4,0.9993537943430167
170,8.594980931268824E-4,9.058363479521833E-4,8.979099794713787E-4,8.748552698911469E-4,8.659517437681835E-4
533,0.9988662401990867,2.8968928899351313E-4,2.8734098109952977E-4,0.9988710627097557,0.9988682243756112
593,2.4716874285276425E-4,2.603718528602322E-4,2.582143233031779E-4,2.5148668546952303E-4,2.4902457314572417E-4
1155,1.270220114660924E-4,0.9994832236789974,1.3275748731884506E-4,1.2919716147433838E-4,1.2793231568461452E-4
511,2.868104134313544E-4,3.0209284102731247E-4,2.995895948277458E-4,0.9988226056147215,2.889769628762686E-4
882,1.6624872230510247E-4,1.751292237973181E-4,0.9993218491436174,0.9993174050317165,1.674969818140068E-4
781,1.8772774513944318E-4,1.9775561797771247E-4,1.961169625337719E-4,1.9100725943085116E-4,1.8913727699189275E-4
164,8.908374386109243E-4,9.383880370684058E-4,9.306118075293212E-4,0.5043715327745585,8.974897079014658E-4
232,0.9973999126859399,6.64292276840605E-4,0.9974283268067647,6.415557603870095E-4,6.352745933228999E-4
207,0.9970873199587562,7.441559707635306E-4,7.379893553706627E-4,0.9970993914390657,7.118544032928102E-4
799,1.8350252000275317E-4,1.9340152074426179E-4,1.9170292942620972E-4,1.867412784269011E-4,1.8488032982145775E-4
1040,1.4100979371627946E-4,1.4854210070863443E-4,1.473112471816791E-4,1.4347898719403938E-4,0.9994196088557586
535,0.9988705404141882,0.9988851311240592,0.9988826392802469,2.7871273087099553E-4,2.7600152802581356E-4
581,2.522758229566998E-4,0.9989733465349944,0.998971142116795,2.5667423560615744E-4,0.9989617332274211
137,0.9956071056730287,0.0011223261703085196,0.9956547760967149,0.001084023901921206,0.0010737376762134947
1092,0.9994461856068404,0.9994534231021641,1.4030120661698216E-4,1.3664576556335977E-4,1.3530799456295942E-4
1886,0.9996792912234881,8.193710396215456E-5,8.125815973888374E-5,0.9996806535583294,0.999679834162956
151,9.671156339188437E-4,0.0010194320790325015,0.0010103375135059795,9.840116437830428E-4,9.743774035663971E-4
171,8.544934199657297E-4,9.001408729271955E-4,8.926817812851575E-4,8.694218861070857E-4,0.9964830179356408
292,0.9979328847478068,5.280861805653708E-4,5.237101913203894E-4,5.102023774159755E-4,0.9979365426056959
88,0.0016536674497797305,0.9932700399730525,0.00172757665285313,0.9932097760532066,0.0016661850455294916
1650,8.8902439685532E-5,9.365660395990967E-5,0.9996374179343589,9.045550943284422E-5,8.956994839232074E-5
119,0.0012255617829220894,0.0012910337301361,0.0012803351856820319,0.994968269348541,0.0012347643722732946
1419,1.0338537350222782E-4,1.088888719195498E-4,1.079865981526764E-4,1.0517309957251663E-4,1.0414344645258802E-4
1292,1.1352219385710561E-4,1.1958617407126369E-4,1.1859526168669357E-4,1.1550535949916766E-4,0.9995327218329082
50,0.002892327733965395,0.0030465188057680463,0.0030216623243222757,0.9881254488434451,0.002913716263359055
1397,1.0499429579369716E-4,1.1060273919393718E-4,1.0968626818252676E-4,1.0682848297001235E-4,0.9995678738629494
118,0.0012358825142031842,0.0013019068248758551,0.0012911171183964607,0.0012574749076038707,0.0012452132495817624
1235,1.1875852288822393E-4,1.2510853364080247E-4,1.240655899390563E-4,1.2083316174429995E-4,1.196501978785565E-4
175,8.350449765480437E-4,8.797357647593611E-4,8.724024641327837E-4,0.9965714420505267,0.9965629499580739
67,0.9910680353779125,0.0022820182000633103,0.002263103518264127,0.0022042766987051196,0.002182546326218514
242,6.04564728338695E-4,6.368602493491514E-4,6.315827815453903E-4,6.151265770660073E-4,6.091042833402158E-4
411,3.5653277580476603E-4,3.7546178663272966E-4,0.99854630145045,3.626490543194909E-4,3.5930655198740115E-4
748,1.960016053702127E-4,2.064714537805822E-4,0.9992005919691812,1.9943234994429968E-4,1.9749291604030946E-4
57,0.002542772677687619,0.9896571029516771,0.9896349469315285,0.0025860776672384845,0.0025622463793171144
331,4.426326226721468E-4,4.6602963084884465E-4,4.621426896633291E-4,4.5010154696555695E-4,4.4569485208181706E-4
63,0.9905075312757381,0.002425215443855577,0.002405114869469602,0.9905478283027189,0.9905247762712812
44,0.9864764990149147,0.003455043168250307,0.0034264047365212586,0.0033371057379971247,0.0033044220016258115
1568,9.354946529381874E-5,9.862346566294064E-5,9.772998597844437E-5,9.518371884208294E-5,9.425186578814571E-5
